ApplicableInspectionTypes,Make,Name
"SUV Inspection 360 , SUV Inspection 180 , SUV Inspection 90 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Chery,Tiggo 7
"SUV Inspection 360 , SUV Inspection 180 , SUV Inspection 90 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Chery,Tiggo 3
"SUV Inspection 360 , SUV Inspection 180 , SUV Inspection 90 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Chery,Tiggo 5
"SUV Inspection 360 , SUV Inspection 180 , SUV Inspection 90 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Chery,Other Chery Model
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Chevrolet,Camaro
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Chevrolet,Camaro Convertible
"Sedan Inspection 360 , Sedan Inspection 180 , Sedan Inspection 90 , Sedan Inspection K , Mojaz Report",Chevrolet,Caprice
"Sedan Inspection 360 , Sedan Inspection 180 , Sedan Inspection 90 , Sedan Inspection K , Sedan Inspection R ,  Sedan Inspection M",Chevrolet,Bolt
"Sedan Inspection 360 , Sedan Inspection 180 , Sedan Inspection 90 , Sedan Inspection K , Sedan Inspection R ,  Sedan Inspection M",Chevrolet,Impala
"Sedan Inspection 360 , Sedan Inspection 180 , Sedan Inspection 90 , Sedan Inspection K , Sedan Inspection R ,  Sedan Inspection M",Chevrolet,Malibu
"Sedan Inspection 360 , Sedan Inspection 180 , Sedan Inspection 90 , Sedan Inspection K , Sedan Inspection R ,  Sedan Inspection M",Chevrolet,Spark
"SUV Inspection 360 , SUV Inspection 180 , SUV Inspection 90 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Chevrolet,Blazer
"SUV Inspection 360 , SUV Inspection 180 , SUV Inspection 90 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Chevrolet,Captiva
"SUV Inspection 360 , SUV Inspection 180 , SUV Inspection 90 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Chevrolet,Equinox
"SUV Inspection 360 , SUV Inspection 180 , SUV Inspection 90 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Chevrolet,Silverado and other C/K1500
"SUV Inspection 360 , SUV Inspection 180 , SUV Inspection 90 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Chevrolet,Tahoe
"SUV Inspection 360 , SUV Inspection 180 , SUV Inspection 90 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Chevrolet,Suburban
"SUV Inspection 360 , SUV Inspection 180 , SUV Inspection 90 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Chevrolet,TrailBlazer
"SUV Inspection 360 , SUV Inspection 180 , SUV Inspection 90 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Chevrolet,Other Chevrolet Models
"SUV Inspection 360 , SUV Inspection 180 , SUV Inspection 90 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Chevrolet,Trax
"SUV Inspection 360 , SUV Inspection 180 , SUV Inspection 90 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Chevrolet,Traverse
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Chrysler,300 SRT
"Sedan Inspection 360 , Sedan Inspection 180 , Sedan Inspection 90 , Sedan Inspection K , Sedan Inspection R ,  Sedan Inspection M",Chrysler,300C
"SUV Inspection 360 , SUV Inspection 180 , SUV Inspection 90 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Chrysler,Other Chrysler Model
"SUV Inspection 360 , SUV Inspection 180 , SUV Inspection 90 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Chrysler,Pacifica
"European Sedan Inspection 360 , European Sedan Inspection 180 , European Sedan Inspection 90 , European Car Inspection K , European Car Inspection R , European Car Inspection M",Citroen,C-Elysee
"European Sedan Inspection 360 , European Sedan Inspection 180 , European Sedan Inspection 90 , European Car Inspection K , European Car Inspection R , European Car Inspection M",Citroen,C3
"European Sedan Inspection 360 , European Sedan Inspection 180 , European Sedan Inspection 90 , European Car Inspection K , European Car Inspection R , European Car Inspection M",Citroen,C4
